City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,boone,39.0334,-92.3335,33.22,50,22,3.02,US,1718917055
185,gaigeturi,33.4644,126.3183,22.03,88,75,0.51,KR,1718917329
186,lichtenburg,-26.152,26.1597,11.25,30,0,4.37,ZA,1718917346
187,saint croix,17.7397,-64.7388,28.31,78,100,1.79,VI,1718917347
188,inirida,3.8653,-67.9239,27.06,84,56,1.52,CO,1718917212
189,ulaangom,49.9811,92.0667,11.38,46,36,0.5,MN,1718917350
190,tynda,55.1667,124.7167,12.68,84,53,1.22,RU,1718917351
191,alagir,43.0422,44.2222,17.3,78,100,4.03,RU,1718917352
192,banda aceh,5.5577,95.3222,27.54,79,98,6.34,ID,1718917353
193,college,64.8569,-147.8028,24.14,48,79,0.83,US,1718917354
194,kiunga,-6.1219,141.2906,22.16,98,100,1.39,PG,1718917355
195,mejit,10.2753,170.8646,28.15,81,4,7.14,MH,1718917356
196,invercargill,-46.4,168.35,2.23,90,100,0.45,NZ,1718917358
197,basoko,1.2391,23.616,24.66,75,81,0.93,CD,1718917359
198,sokoto,13.0609,5.239,29.82,53,98,6.12,NG,1718917360
199,bonthe,7.5264,-12.505,26.15,82,100,3.72,SL,1718917361
200,fada,9.5667,8.3,22.37,92,100,0.44,NG,1718917362
201,mayya,61.7333,130.2811,11.62,67,14,1.77,RU,1718917363
202,poputnaya,44.5125,41.4392,20.26,86,83,7.08,RU,1718917364
203,hamilton,39.1834,-84.5333,34.87,53,31,0.45,US,1718917240
204,portage,41.1667,-81.1998,33.79,47,40,3.09,US,1718917367
205,camana,-16.6228,-72.7111,17.75,83,93,3.94,PE,1718917368
206,rio grande,-32.035,-52.0986,19.06,94,0,3.89,BR,1718917295
207,carutapera,-1.195,-46.02,24.91,92,79,2.89,BR,1718917356
208,saltillo,25.4167,-101.0,21.92,54,100,8.94,MX,1718917082
209,leh,34.1667,77.5833,10.06,34,100,1.5,IN,1718917195
210,kamina,-8.7386,24.9906,19.27,49,5,2.02,CD,1718917373
211,pangody,65.85,74.4859,2.52,92,59,4.2,RU,1718917375
212,saint-philippe,-21.3585,55.7679,19.77,80,89,6.52,RE,1718917376
213,timbuktu,16.7735,-3.0074,31.6,43,97,6.76,ML,1718917377
214,beltangadi,13.9833,75.3,21.29,95,100,3.32,IN,1718917380
215,shikhany,52.1167,47.2167,19.94,69,36,2.98,RU,1718917381
216,papatowai,-46.5619,169.4708,4.74,81,98,2.58,NZ,1718917383
217,villa gesell,-37.2639,-56.973,10.59,56,50,4.9,AR,1718917229
218,port alfred,-33.5906,26.891,15.66,84,66,0.45,ZA,1718917385
219,bayganin,48.6947,55.8742,22.18,44,35,2.75,KZ,1718917386
220,fortuna,40.5982,-124.1573,16.1,87,75,4.63,US,1718917387
221,isafjordur,66.0755,-23.124,5.32,73,100,2.95,IS,1718917386
222,tura,25.5198,90.2201,24.23,98,100,1.56,IN,1718917389
223,chernyshevskiy,63.0128,112.4714,9.38,93,100,2.63,RU,1718917391
224,heroica caborca,30.7167,-112.15,40.21,9,0,5.0,MX,1718917392
225,vargem grande,-3.5431,-43.9158,28.16,62,93,1.09,BR,1718917393
